"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""KRISHNA"".""COPY$1317_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 542\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1040\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1063\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""KRISHNA"".""COPY$5065_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 543\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1041\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1064\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""KRISHNA"".""COPY$4970_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 543\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1041\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1064\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""KRISHNA"".""COPY$947_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 542\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1040\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1063\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""KRISHNA"".""COPY$956_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 542\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1040\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1063\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""DATON"".""COPY$697_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 540\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1008\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1031\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""KRISHNA"".""COPY$2807_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 542\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1040\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1063\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""DATON"".""COPY$178_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 540\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1008\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1031\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""DATON"".""COPY$517_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 540\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1008\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1031\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""KRISHNA"".""COPY$111_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 542\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1040\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1063\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""KRISHNA"".""COPY$5422_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 543\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1041\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1064\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""KRISHNA"".""COPY$6189_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 543\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1041\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1064\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""DATON"".""COPY$380_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 540\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1008\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1031\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""KRISHNA"".""COPY$5584_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 543\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1041\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1064\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""KRISHNA"".""COPY$5593_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 543\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1041\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1064\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""KRISHNA"".""COPY$446_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 542\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1040\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1063\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""DATON"".""COPY$371_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 540\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1008\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1031\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""DATON"".""COPY$679_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 540\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1008\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1031\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""KRISHNA"".""COPY$419_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 542\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1040\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1063\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""DATON"".""COPY$362_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 540\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1008\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1031\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""KRISHNA"".""COPY$428_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 542\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1040\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1063\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""KRISHNA"".""COPY$282_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 542\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1040\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1063\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""KRISHNA"".""COPY$4424_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 543\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1041\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1064\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""KRISHNA"".""COPY$3605_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 542\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1040\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1063\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""DATON"".""COPY$701_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 540\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1008\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1031\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""KRISHNA"".""COPY$5557_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 543\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1041\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1064\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""KRISHNA"".""COPY$3794_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 542\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1040\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1063\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""KRISHNA"".""COPY$612_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 542\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1040\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1063\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""KRISHNA"".""COPY$2142_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 542\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1040\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1063\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""DATON"".""COPY$196_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 540\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1008\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1031\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""KRISHNA"".""COPY$273_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 542\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1040\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1063\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""DATON"".""COPY$187_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 540\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1008\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1031\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""KRISHNA"".""COPY$4258_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 543\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1041\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1064\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""DATON"".""COPY$872_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 540\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1008\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1031\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""DATON"".""COPY$526_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 540\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1008\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1031\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""KRISHNA"".""COPY$630_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 542\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1040\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1063\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""KRISHNA"".""COPY$4267_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 543\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1041\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1064\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""DATON"".""COPY$881_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 540\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1008\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1031\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""DATON"".""COPY$535_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 540\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1008\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1031\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""DATON"".""COPY$890_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 540\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1008\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1031\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""KRISHNA"".""COPY$621_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 542\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1040\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1063\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""KRISHNA"".""COPY$3650_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 542\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1040\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1063\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""KRISHNA"".""COPY$6036_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 543\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1041\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1064\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""DATON"".""COPY$544_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 540\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1008\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1031\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""KRISHNA"".""COPY$33_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 542\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1040\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1063\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""KRISHNA"".""COPY$3448_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 542\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1040\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1063\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""KRISHNA"".""COPY$6211_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 543\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1041\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1064\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""KRISHNA"".""COPY$3614_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 542\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1040\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1063\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""KRISHNA"".""COPY$4460_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 543\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1041\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1064\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""KRISHNA"".""COPY$1845_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 542\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1040\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1063\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""KRISHNA"".""COPY$6202_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 543\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1041\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1064\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""KRISHNA"".""COPY$4433_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 543\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1041\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1064\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""KRISHNA"".""COPY$5950_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 543\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1041\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1064\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""KRISHNA"".""COPY$24_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 542\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1040\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1063\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""KRISHNA"".""COPY$1890_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 542\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1040\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1063\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""DATON"".""COPY$710_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 540\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1008\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1031\nORA-06512: at line 1\n"
"java.util.concurrent.CompletionException: java.sql.SQLException: ORA-20003: Reject limit reached, query table ""KRISHNA"".""COPY$4442_LOG"" for error details\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 543\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1041\nORA-06512: at ""C##CLOUD$SERVICE.DBMS_CLOUD"", line 1064\nORA-06512: at line 1\n"
